"","Competition_Name","Country","Team","Opp","Venue","HomeGoals","AwayGoals","Result","Diff"
"88","Premier League","ENG","Chelsea","Newcastle Utd","H",2,1,"W",1
"89","Premier League","ENG","Crystal Palace","Tottenham","H",1,0,"W",1
"90","Premier League","ENG","Arsenal","Liverpool","H",2,2,"D",0
"91","Premier League","ENG","Newcastle Utd","Arsenal","H",1,0,"W",1
"92","Premier League","ENG","Liverpool","Brighton","H",2,1,"W",1
"93","Premier League","ENG","Southampton","Everton","H",1,0,"W",1
"94","Premier League","ENG","Nott'ham Forest","West Ham","H",3,0,"W",3
"95","Premier League","ENG","Ipswich Town","Leicester City","H",1,1,"D",0
"96","Premier League","ENG","Bournemouth","Manchester City","H",2,1,"W",1
"97","Premier League","ENG","Wolves","Crystal Palace","H",2,2,"D",0
"98","Premier League","ENG","Tottenham","Aston Villa","H",4,1,"W",3
"99","Premier League","ENG","Manchester Utd","Chelsea","H",1,1,"D",0
"100","Premier League","ENG","Fulham","Brentford","H",2,1,"W",1
"101","Premier League","ENG","West Ham","Everton","H",0,0,"D",0
"102","Premier League","ENG","Crystal Palace","Fulham","H",0,2,"L",-2
"103","Premier League","ENG","Wolves","Southampton","H",2,0,"W",2
"104","Premier League","ENG","Brentford","Bournemouth","H",3,2,"W",1
"105","Premier League","ENG","Brighton","Manchester City","H",2,1,"W",1
"106","Premier League","ENG","Liverpool","Aston Villa","H",2,0,"W",2
"107","Premier League","ENG","Tottenham","Ipswich Town","H",1,2,"L",-1
"108","Premier League","ENG","Nott'ham Forest","Newcastle Utd","H",1,3,"L",-2
"109","Premier League","ENG","Manchester Utd","Leicester City","H",3,0,"W",3
"110","Premier League","ENG","Chelsea","Arsenal","H",1,1,"D",0
"111","Premier League","ENG","Leicester City","Chelsea","H",1,2,"L",-1
"112","Premier League","ENG","Aston Villa","Crystal Palace","H",2,2,"D",0
"113","Premier League","ENG","Fulham","Wolves","H",1,4,"L",-3
"114","Premier League","ENG","Bournemouth","Brighton","H",1,2,"L",-1
"115","Premier League","ENG","Arsenal","Nott'ham Forest","H",3,0,"W",3
"116","Premier League","ENG","Everton","Brentford","H",0,0,"D",0
"117","Premier League","ENG","Manchester City","Tottenham","H",0,4,"L",-4
"118","Premier League","ENG","Southampton","Liverpool","H",2,3,"L",-1
"119","Premier League","ENG","Ipswich Town","Manchester Utd","H",1,1,"D",0
"120","Premier League","ENG","Newcastle Utd","West Ham","H",0,2,"L",-2
"121","Premier League","ENG","Brighton","Southampton","H",1,1,"D",0
"122","Premier League","ENG","Wolves","Bournemouth","H",2,4,"L",-2
"123","Premier League","ENG","Nott'ham Forest","Ipswich Town","H",1,0,"W",1
"124","Premier League","ENG","Brentford","Leicester City","H",4,1,"W",3
"125","Premier League","ENG","Crystal Palace","Newcastle Utd","H",1,1,"D",0
"126","Premier League","ENG","West Ham","Arsenal","H",2,5,"L",-3
"127","Premier League","ENG","Manchester Utd","Everton","H",4,0,"W",4
"128","Premier League","ENG","Tottenham","Fulham","H",1,1,"D",0
"129","Premier League","ENG","Chelsea","Aston Villa","H",3,0,"W",3
"130","Premier League","ENG","Liverpool","Manchester City","H",2,0,"W",2
"131","Premier League","ENG","Ipswich Town","Crystal Palace","H",0,1,"L",-1
"132","Premier League","ENG","Leicester City","West Ham","H",3,1,"W",2
"133","Premier League","ENG","Newcastle Utd","Liverpool","H",3,3,"D",0
"134","Premier League","ENG","Everton","Wolves","H",4,0,"W",4
"135","Premier League","ENG","Manchester City","Nott'ham Forest","H",3,0,"W",3
"136","Premier League","ENG","Southampton","Chelsea","H",1,5,"L",-4
"137","Premier League","ENG","Arsenal","Manchester Utd","H",2,0,"W",2
"138","Premier League","ENG","Aston Villa","Brentford","H",3,1,"W",2
"139","Premier League","ENG","Fulham","Brighton","H",3,1,"W",2
"140","Premier League","ENG","Bournemouth","Tottenham","H",1,0,"W",1
"141","Premier League","ENG","Aston Villa","Southampton","H",1,0,"W",1
"142","Premier League","ENG","Crystal Palace","Manchester City","H",2,2,"D",0
"143","Premier League","ENG","Brentford","Newcastle Utd","H",4,2,"W",2
"144","Premier League","ENG","Manchester Utd","Nott'ham Forest","H",2,3,"L",-1
"145","Premier League","ENG","Leicester City","Brighton","H",2,2,"D",0
"146","Premier League","ENG","Ipswich Town","Bournemouth","H",1,2,"L",-1
"147","Premier League","ENG","Fulham","Arsenal","H",1,1,"D",0
"148","Premier League","ENG","Tottenham","Chelsea","H",3,4,"L",-1
"149","Premier League","ENG","West Ham","Wolves","H",2,1,"W",1
"150","Premier League","ENG","Liverpool","Fulham","H",2,2,"D",0
"151","Premier League","ENG","Wolves","Ipswich Town","H",1,2,"L",-1
"152","Premier League","ENG","Newcastle Utd","Leicester City","H",4,0,"W",4
"153","Premier League","ENG","Arsenal","Everton","H",0,0,"D",0
"154","Premier League","ENG","Nott'ham Forest","Aston Villa","H",2,1,"W",1
"155","Premier League","ENG","Brighton","Crystal Palace","H",1,3,"L",-2
"156","Premier League","ENG","Manchester City","Manchester Utd","H",1,2,"L",-1
"157","Premier League","ENG","Southampton","Tottenham","H",0,5,"L",-5
"158","Premier League","ENG","Chelsea","Brentford","H",2,1,"W",1
"159","Premier League","ENG","Bournemouth","West Ham","H",1,1,"D",0
"160","Premier League","ENG","Aston Villa","Manchester City","H",2,1,"W",1
"161","Premier League","ENG","Ipswich Town","Newcastle Utd","H",0,4,"L",-4
"162","Premier League","ENG","Brentford","Nott'ham Forest","H",0,2,"L",-2
"163","Premier League","ENG","West Ham","Brighton","H",1,1,"D",0
"164","Premier League","ENG","Crystal Palace","Arsenal","H",1,5,"L",-4
"165","Premier League","ENG","Manchester Utd","Bournemouth","H",0,3,"L",-3
"166","Premier League","ENG","Leicester City","Wolves","H",0,3,"L",-3
"167","Premier League","ENG","Everton","Chelsea","H",0,0,"D",0
"168","Premier League","ENG","Fulham","Southampton","H",0,0,"D",0
"169","Premier League","ENG","Tottenham","Liverpool","H",3,6,"L",-3
"170","Premier League","ENG","Manchester City","Everton","H",1,1,"D",0
"171","Premier League","ENG","Southampton","West Ham","H",0,1,"L",-1
"172","Premier League","ENG","Newcastle Utd","Aston Villa","H",3,0,"W",3
"173","Premier League","ENG","Nott'ham Forest","Tottenham","H",1,0,"W",1
"174","Premier League","ENG","Bournemouth","Crystal Palace","H",0,0,"D",0
"175","Premier League","ENG","Chelsea","Fulham","H",1,2,"L",-1
